question,vector_distances,vector_scores,bm25_scores
"Most of a system's requirements specify that the system should do what it is intended to do. Is it also appropri ate to specify that the system should not do what it is not intended to do? If your answer is no, explain why; if your answer is yes, give an example.","[0.5356473922729492, 0.5432754755020142, 0.5463958978652954, 0.5512125492095947, 0.5583422183990479, 0.5608580708503723, 0.5623913407325745, 0.5624049305915833, 0.5638449192047119, 0.5646762847900391, 0.565133810043335, 0.565265953540802, 0.5655105113983154, 0.565998911857605, 0.5669875741004944, 0.5671142339706421, 0.569137692451477, 0.5692011117935181, 0.5698131322860718, 0.5728565454483032, 0.575013279914856, 0.5769524574279785, 0.5770019292831421, 0.5806787610054016, 0.5812191367149353, 0.5829273462295532, 0.586035966873169, 0.5875051021575928, 0.5895739197731018, 0.5900518894195557]","[0.4643526077270508, 0.45672452449798584, 0.4536041021347046, 0.4487874507904053, 0.44165778160095215, 0.4391419291496277, 0.43760865926742554, 0.43759506940841675, 0.4361550807952881, 0.43532371520996094, 0.43486618995666504, 0.434734046459198, 0.43448948860168457, 0.434001088142395, 0.4330124258995056, 0.4328857660293579, 0.43086230754852295, 0.43079888820648193, 0.4301868677139282, 0.4271434545516968, 0.42498672008514404, 0.4230475425720215, 0.4229980707168579, 0.4193212389945984, 0.4187808632850647, 0.4170726537704468, 0.41396403312683105, 0.4124948978424072, 0.4104260802268982, 0.40994811058044434]","[29.962814, 28.22078, 27.663546, 24.85419, 24.432486, 24.031849, 23.213045, 22.909058, 22.562702, 22.502394, 22.43408, 22.17749, 21.70801, 21.119215, 20.776655, 20.68842, 20.447052, 20.206432, 20.07145, 20.018501, 19.83671, 19.65455, 19.647827, 19.626225, 19.624878, 19.504347, 19.411526, 19.376083, 19.175026, 19.085133]"
"Describe the different consumers of software requirements i.e. the different users, or types of users, o f a software requirements document). For each consumer, explain how he or she would use the requirements, and how the requirements should be documented to make them useful for this consumer.","[0.34833240509033203, 0.41632479429244995, 0.4197424054145813, 0.42324453592300415, 0.42514556646347046, 0.4258880615234375, 0.4292018413543701, 0.4331570863723755, 0.4379499554634094, 0.4383525848388672, 0.4388273358345032, 0.4429738521575928, 0.44423907995224, 0.44628405570983887, 0.44821345806121826, 0.4570210576057434, 0.4618184566497803, 0.47580522298812866, 0.4784739017486572, 0.4805465340614319, 0.4810677170753479, 0.4835352301597595, 0.484117329120636, 0.48508667945861816, 0.4882547855377197, 0.4921811819076538, 0.4974660873413086, 0.4993806481361389, 0.5005702972412109, 0.5023766160011292]","[0.651667594909668, 0.58367520570755, 0.5802575945854187, 0.5767554640769958, 0.5748544335365295, 0.5741119384765625, 0.5707981586456299, 0.5668429136276245, 0.5620500445365906, 0.5616474151611328, 0.5611726641654968, 0.5570261478424072, 0.55576092004776, 0.5537159442901611, 0.5517865419387817, 0.5429789423942566, 0.5381815433502197, 0.5241947770118713, 0.5215260982513428, 0.5194534659385681, 0.5189322829246521, 0.5164647698402405, 0.515882670879364, 0.5149133205413818, 0.5117452144622803, 0.5078188180923462, 0.5025339126586914, 0.5006193518638611, 0.49942970275878906, 0.49762338399887085]","[27.210232, 25.669836, 25.129938, 24.97006, 24.851646, 24.24416, 23.447115, 22.978153, 22.953325, 22.760004, 22.506777, 22.496124, 22.490685, 22.338074, 22.032324, 21.964514, 21.86857, 21.864641, 21.576916, 21.089334, 20.964588, 20.898731, 20.553022, 20.428284, 20.254112, 20.189856, 20.152296, 20.063843, 19.680805, 19.604427]"
"One source of problems in the requirements phase can be the rela tionship between system developers and their customers. What are some negative stereotypes customers may hold about developers? What could you, as a developer on a project, do to minimize the impact of those negative stereotypes?","[0.4187030792236328, 0.43592870235443115, 0.4512280225753784, 0.46277284622192383, 0.46443355083465576, 0.4695093035697937, 0.4709833860397339, 0.47746968269348145, 0.4783555269241333, 0.48604297637939453, 0.48989933729171753, 0.4937819242477417, 0.4939783215522766, 0.4954134225845337, 0.49925923347473145, 0.4996451139450073, 0.500551700592041, 0.5012317895889282, 0.5077208876609802, 0.5136498212814331, 0.5168689489364624, 0.5172978639602661, 0.5203918814659119, 0.522831916809082, 0.5230382084846497, 0.5249588489532471, 0.5257797241210938, 0.5258656144142151, 0.5262678265571594, 0.5269039273262024]","[0.5812969207763672, 0.5640712976455688, 0.5487719774246216, 0.5372271537780762, 0.5355664491653442, 0.5304906964302063, 0.5290166139602661, 0.5225303173065186, 0.5216444730758667, 0.5139570236206055, 0.5101006627082825, 0.5062180757522583, 0.5060216784477234, 0.5045865774154663, 0.5007407665252686, 0.5003548860549927, 0.499448299407959, 0.4987682104110718, 0.4922791123390198, 0.4863501787185669, 0.4831310510635376, 0.4827021360397339, 0.47960811853408813, 0.47716808319091797, 0.47696179151535034, 0.47504115104675293, 0.47422027587890625, 0.4741343855857849, 0.4737321734428406, 0.4730960726737976]","[25.525585, 25.470291, 25.38886, 25.318733, 25.026495, 24.944555, 24.603031, 24.270128, 24.227962, 23.621973, 23.47044, 23.001049, 22.83138, 22.36243, 21.998266, 21.632006, 21.62843, 21.577637, 21.353582, 21.266014, 21.186539, 21.00982, 20.897402, 20.836943, 20.774683, 20.654503, 20.618425, 20.570461, 20.434875, 20.364271]"
"The following statements describe modules in a (hypothetical) program. F or each, decide whether the module is likely to have a high or low degree of cohesion. If cohesion is low, explain why. a. Module “InventorySearchByID” searches the records in inventory to see if any match the specified range of ID numbers. A data structure is returned containing any matching records. b. Module “ProcessPurchase” removes the purchased product from inventory, prints a receipt for the customer and updates the log. c. Module “FindSet” processes the user's request, determine s the set of items from inventory that match the request, and formats the items into a list that can be shown to the customer.","[0.3775101900100708, 0.3817182183265686, 0.38702940940856934, 0.41732990741729736, 0.41883063316345215, 0.4309754967689514, 0.43797749280929565, 0.4409818649291992, 0.44149792194366455, 0.445029079914093, 0.44570499658584595, 0.44714903831481934, 0.4487560987472534, 0.4491877555847168, 0.45483267307281494, 0.4586673974990845, 0.46050119400024414, 0.4629592299461365, 0.4630606174468994, 0.4648316502571106, 0.46507513523101807, 0.4656009078025818, 0.465920090675354, 0.46658921241760254, 0.4671168327331543, 0.46840089559555054, 0.46863406896591187, 0.4687684178352356, 0.4689902067184448, 0.4714711904525757]","[0.6224898099899292, 0.6182817816734314, 0.6129705905914307, 0.5826700925827026, 0.5811693668365479, 0.5690245032310486, 0.5620225071907043, 0.5590181350708008, 0.5585020780563354, 0.554970920085907, 0.554295003414154, 0.5528509616851807, 0.5512439012527466, 0.5508122444152832, 0.5451673269271851, 0.5413326025009155, 0.5394988059997559, 0.5370407700538635, 0.5369393825531006, 0.5351683497428894, 0.5349248647689819, 0.5343990921974182, 0.534079909324646, 0.5334107875823975, 0.5328831672668457, 0.5315991044044495, 0.5313659310340881, 0.5312315821647644, 0.5310097932815552, 0.5285288095474243]","[52.219578, 47.139618, 44.857693, 42.97585, 42.539104, 40.330303, 39.98494, 39.64185, 38.962162, 38.121666, 37.174583, 37.158447, 36.930634, 36.751835, 36.5205, 36.21333, 36.175133, 34.89662, 34.648598, 34.549603, 34.48038, 34.231655, 33.89373, 33.782192, 33.55166, 33.523476, 33.496662, 33.491375, 33.29528, 32.890564]"
What does it mean to say that a design review should be “egoless”? Why are egoless reviews necessary? Suggest some s teps that may help achieve egoless reviews.,"[0.49009132385253906, 0.4945027232170105, 0.5206668972969055, 0.5209276676177979, 0.5385304689407349, 0.5386489629745483, 0.5750047564506531, 0.5769622325897217, 0.5979313254356384, 0.6083939075469971, 0.6089702844619751, 0.6132084131240845, 0.6145583391189575, 0.6171596050262451, 0.6172147989273071, 0.6220274567604065, 0.6245948076248169, 0.6290286183357239, 0.6316993236541748, 0.6321836113929749, 0.6324588656425476, 0.6334658265113831, 0.6337729692459106, 0.6340487599372864, 0.6349694728851318, 0.6350899934768677, 0.6371024250984192, 0.6371332406997681, 0.6376869678497314, 0.638203501701355]","[0.5099086761474609, 0.5054972767829895, 0.4793331027030945, 0.47907233238220215, 0.46146953105926514, 0.46135103702545166, 0.4249952435493469, 0.4230377674102783, 0.4020686745643616, 0.39160609245300293, 0.3910297155380249, 0.3867915868759155, 0.3854416608810425, 0.3828403949737549, 0.38278520107269287, 0.3779725432395935, 0.3754051923751831, 0.3709713816642761, 0.3683006763458252, 0.36781638860702515, 0.3675411343574524, 0.36653417348861694, 0.36622703075408936, 0.3659512400627136, 0.36503052711486816, 0.3649100065231323, 0.3628975749015808, 0.36286675930023193, 0.36231303215026855, 0.361796498298645]","[19.1605, 19.103418, 18.920244, 18.779408, 18.454546, 17.79187, 17.477106, 17.073198, 16.561443, 16.554394, 16.50171, 16.291115, 15.885333, 15.852258, 15.77161, 15.666599, 15.625477, 15.530101, 15.342707, 15.276376, 15.223307, 15.073269, 15.058815, 14.9939575, 14.806858, 14.801014, 14.710537, 14.706423, 14.665774, 14.634057]"
In what ways do the Object-Oriented characteristics of encapsulation and information hiding support reuse? What kind of criteria would you use in deciding whether to reuse a class in a new system?,"[0.36543935537338257, 0.37864983081817627, 0.38270115852355957, 0.39313435554504395, 0.3947288393974304, 0.41707825660705566, 0.4242287874221802, 0.42622536420822144, 0.4286518096923828, 0.43049389123916626, 0.4321204423904419, 0.4372674822807312, 0.4431217312812805, 0.4503368139266968, 0.4517631530761719, 0.45228445529937744, 0.4545222520828247, 0.45613062381744385, 0.4585381746292114, 0.45865678787231445, 0.4642486572265625, 0.4696232080459595, 0.47147417068481445, 0.47173571586608887, 0.47193652391433716, 0.47287750244140625, 0.4857102036476135, 0.4972608685493469, 0.4974249601364136, 0.49782228469848633]","[0.6345606446266174, 0.6213501691818237, 0.6172988414764404, 0.606865644454956, 0.6052711606025696, 0.5829217433929443, 0.5757712125778198, 0.5737746357917786, 0.5713481903076172, 0.5695061087608337, 0.5678795576095581, 0.5627325177192688, 0.5568782687187195, 0.5496631860733032, 0.5482368469238281, 0.5477155447006226, 0.5454777479171753, 0.5438693761825562, 0.5414618253707886, 0.5413432121276855, 0.5357513427734375, 0.5303767919540405, 0.5285258293151855, 0.5282642841339111, 0.5280634760856628, 0.5271224975585938, 0.5142897963523865, 0.5027391314506531, 0.5025750398635864, 0.5021777153015137]","[25.891806, 25.767588, 23.137764, 22.966879, 22.348606, 22.33358, 22.230633, 21.851116, 21.830976, 21.612679, 21.39359, 21.151112, 20.810581, 20.564001, 20.316618, 20.216045, 20.037827, 19.883781, 19.74294, 19.449139, 19.397343, 19.329449, 19.273216, 19.04375, 18.925442, 18.689095, 18.363712, 18.204987, 18.184917, 17.907682]"
Why is it useful to have separate phases for system and program design?,"[0.42069172859191895, 0.4346824884414673, 0.44215965270996094, 0.4451686143875122, 0.4456257224082947, 0.45235949754714966, 0.45389121770858765, 0.4551217555999756, 0.45803701877593994, 0.4603598117828369, 0.4625108242034912, 0.46271610260009766, 0.46593040227890015, 0.4668681025505066, 0.46870601177215576, 0.4704417586326599, 0.4713926315307617, 0.47151005268096924, 0.4726160764694214, 0.47329187393188477, 0.47361427545547485, 0.47471463680267334, 0.47734737396240234, 0.47965729236602783, 0.4798307418823242, 0.4805488586425781, 0.4813210368156433, 0.48134660720825195, 0.4815164804458618, 0.4833149313926697]","[0.579308271408081, 0.5653175115585327, 0.5578403472900391, 0.5548313856124878, 0.5543742775917053, 0.5476405024528503, 0.5461087822914124, 0.5448782444000244, 0.5419629812240601, 0.5396401882171631, 0.5374891757965088, 0.5372838973999023, 0.5340695977210999, 0.5331318974494934, 0.5312939882278442, 0.5295582413673401, 0.5286073684692383, 0.5284899473190308, 0.5273839235305786, 0.5267081260681152, 0.5263857245445251, 0.5252853631973267, 0.5226526260375977, 0.5203427076339722, 0.5201692581176758, 0.5194511413574219, 0.5186789631843567, 0.518653392791748, 0.5184835195541382, 0.5166850686073303]","[13.957924, 13.503914, 13.275269, 13.00155, 12.890448, 12.1596365, 12.117683, 12.11102, 11.82809, 11.531415, 11.518717, 11.409154, 10.670086, 10.349051, 10.163497, 10.094153, 9.981363, 9.673416, 9.603086, 9.538516, 9.408017, 9.384726, 9.284895, 9.251539, 9.219594, 9.195633, 9.185819, 9.078926, 9.055256, 9.051184]"
"In section 6.3, a set of questions was given for helping to find potential problems with a set of use cases. Why is it important if two different terms are being used to refer to the same entity?","[0.4713073968887329, 0.4940045475959778, 0.5123528242111206, 0.5130574703216553, 0.5200244188308716, 0.527564525604248, 0.5281385779380798, 0.5307904481887817, 0.5337253212928772, 0.5359885692596436, 0.5412819981575012, 0.542934775352478, 0.5446773767471313, 0.5460007190704346, 0.546866774559021, 0.5470629334449768, 0.5472792387008667, 0.5479000210762024, 0.5500485301017761, 0.5508351922035217, 0.550894558429718, 0.5515127182006836, 0.5516605377197266, 0.5517212152481079, 0.5527796745300293, 0.5527805089950562, 0.5530558228492737, 0.5530895590782166, 0.5541435480117798, 0.554367184638977]","[0.5286926031112671, 0.5059954524040222, 0.4876471757888794, 0.4869425296783447, 0.4799755811691284, 0.47243547439575195, 0.47186142206192017, 0.46920955181121826, 0.4662746787071228, 0.46401143074035645, 0.4587180018424988, 0.457065224647522, 0.45532262325286865, 0.45399928092956543, 0.453133225440979, 0.4529370665550232, 0.4527207612991333, 0.4520999789237976, 0.4499514698982239, 0.44916480779647827, 0.449105441570282, 0.4484872817993164, 0.44833946228027344, 0.4482787847518921, 0.4472203254699707, 0.44721949100494385, 0.4469441771507263, 0.44691044092178345, 0.4458564519882202, 0.44563281536102295]","[28.66919, 25.63065, 23.71054, 21.631052, 20.884232, 20.818468, 20.408812, 20.399775, 20.32952, 19.512562, 19.468143, 19.09515, 19.001402, 18.921505, 18.902382, 18.63362, 18.587856, 18.572592, 18.331198, 18.22428, 18.201427, 18.036072, 17.949612, 17.792368, 17.658352, 17.62664, 17.599258, 17.317043, 17.20076, 17.11803]"
"You are designing a system to help run a bookstore. Revenue for the store comes from two distinct services: customers can purchase books, or bring their books in for rebinding. You are considering making a separate class for each service, both of which would be subclasses of a general “sale item” class. What are the likely benefits of such an approach? Are there any possible arguments against using inheritance in this case? Be sure to specify what factors could influence your decision.","[0.453575074672699, 0.462429940700531, 0.4676533341407776, 0.4792173504829407, 0.4822969436645508, 0.49164795875549316, 0.501101016998291, 0.532822847366333, 0.5357080698013306, 0.5369556546211243, 0.5409888029098511, 0.5458943843841553, 0.5532165169715881, 0.554608941078186, 0.555505096912384, 0.5558767318725586, 0.5571856498718262, 0.5615248084068298, 0.5635859370231628, 0.5682591199874878, 0.5699748992919922, 0.5716938376426697, 0.5775023698806763, 0.5776731967926025, 0.5782740116119385, 0.580193042755127, 0.5805637836456299, 0.5809651613235474, 0.5816589593887329, 0.5825484991073608]","[0.546424925327301, 0.537570059299469, 0.5323466658592224, 0.5207826495170593, 0.5177030563354492, 0.5083520412445068, 0.498898983001709, 0.467177152633667, 0.46429193019866943, 0.46304434537887573, 0.4590111970901489, 0.4541056156158447, 0.44678348302841187, 0.44539105892181396, 0.44449490308761597, 0.4441232681274414, 0.44281435012817383, 0.43847519159317017, 0.43641406297683716, 0.4317408800125122, 0.4300251007080078, 0.4283061623573303, 0.42249763011932373, 0.42232680320739746, 0.4217259883880615, 0.41980695724487305, 0.4194362163543701, 0.41903483867645264, 0.4183410406112671, 0.41745150089263916]","[46.64675, 45.762093, 38.87212, 38.282387, 36.92396, 36.457058, 36.031693, 35.919945, 35.773308, 35.516182, 34.95154, 34.946415, 34.792397, 34.596123, 34.506668, 34.30949, 34.072765, 33.610676, 33.269653, 33.24665, 33.080242, 32.744545, 32.58087, 32.547184, 32.403755, 32.245426, 32.160416, 32.06975, 32.035942, 31.9708]"
Section 6.7 discusses Chidamber and Kemerer’s metric of depth of inheritance. Why does it seem likely that a class that is deeper in the hierarchy is harder to understand and maintain than one that is less deep?,"[0.4400101900100708, 0.49297618865966797, 0.4991365671157837, 0.5060113072395325, 0.5087995529174805, 0.5093967914581299, 0.5107658505439758, 0.5115657448768616, 0.5259168148040771, 0.5265054106712341, 0.52785325050354, 0.5281829833984375, 0.5334808230400085, 0.5375667810440063, 0.5379446744918823, 0.5439337491989136, 0.5484848618507385, 0.5505162477493286, 0.5593476295471191, 0.5611160397529602, 0.5620867609977722, 0.5620894432067871, 0.5635769367218018, 0.565528392791748, 0.566423237323761, 0.5693677067756653, 0.5705888271331787, 0.5731582641601562, 0.575541615486145, 0.5778041481971741]","[0.5599898099899292, 0.507023811340332, 0.5008634328842163, 0.49398869276046753, 0.49120044708251953, 0.4906032085418701, 0.48923414945602417, 0.4884342551231384, 0.47408318519592285, 0.47349458932876587, 0.47214674949645996, 0.4718170166015625, 0.46651917695999146, 0.46243321895599365, 0.4620553255081177, 0.4560662508010864, 0.4515151381492615, 0.4494837522506714, 0.44065237045288086, 0.4388839602470398, 0.4379132390022278, 0.4379105567932129, 0.43642306327819824, 0.43447160720825195, 0.433576762676239, 0.4306322932243347, 0.4294111728668213, 0.42684173583984375, 0.424458384513855, 0.4221958518028259]","[48.754395, 42.275246, 33.678307, 27.814814, 22.655796, 22.259338, 21.180952, 21.108015, 21.031218, 20.893944, 20.534773, 19.744896, 19.661549, 19.361977, 18.416018, 18.410467, 18.130754, 17.376564, 17.313036, 17.25842, 17.124884, 16.941883, 16.318968, 15.907551, 15.678396, 15.430628, 15.244976, 15.162544, 15.145161, 14.990597]"
"A stack is a data structure used to store elements. A stack is a last - in, first - out data structure. That is, the last element placed on the stack is the first element that can be removed from the stack. Elements can be placed on or removed from the to p of the stack only. The allowable operations for a stack are empty, full, push, pop and top. The empty operation returns true if there are no elements in the stack, false otherwise. The full operation returns true if the stack is filled to capaci ty, false otherwise. The push operation takes an element as an argument and places the element on top of the stack, if the stack is not full. If the stack is full, the push operation returns an error. The pop operation removes an element from the top of the stack, if the stack is not empty. If the stack is empty, the pop operation returns an error, otherwise, the top element is returned. The top operation returns the element on the top of the stack without removing the element from the stack, if the stack is not empty. The top operation returns an error if the stack is empty. Use an array to implement a stack data structure whose elements are integers. The stack may contain a maximum of 100 elements. Keep in mind the guidelines for programming style that were presented in this chapter.","[0.5708519220352173, 0.5882089138031006, 0.6152820587158203, 0.6158371567726135, 0.6173075437545776, 0.6418798565864563, 0.6431782245635986, 0.6485474705696106, 0.6598121523857117, 0.6606098413467407, 0.6665425300598145, 0.6694355607032776, 0.6728816628456116, 0.6748315691947937, 0.6766767501831055, 0.6769082546234131, 0.6799196600914001, 0.6802791357040405, 0.6823257207870483, 0.6866925358772278, 0.6868281960487366, 0.6872694492340088, 0.6890407800674438, 0.6892133951187134, 0.690656304359436, 0.6941723227500916, 0.6949314475059509, 0.6954821348190308, 0.6955938339233398, 0.6976768374443054]","[0.4291480779647827, 0.4117910861968994, 0.3847179412841797, 0.3841628432273865, 0.38269245624542236, 0.3581201434135437, 0.35682177543640137, 0.3514525294303894, 0.34018784761428833, 0.3393901586532593, 0.33345746994018555, 0.3305644392967224, 0.3271183371543884, 0.3251684308052063, 0.32332324981689453, 0.3230917453765869, 0.32008033990859985, 0.3197208642959595, 0.31767427921295166, 0.3133074641227722, 0.3131718039512634, 0.3127305507659912, 0.31095921993255615, 0.3107866048812866, 0.30934369564056396, 0.30582767724990845, 0.3050685524940491, 0.30451786518096924, 0.30440616607666016, 0.3023231625556946]","[66.179375, 64.6349, 52.199326, 46.994816, 41.791264, 41.529182, 41.32737, 41.011806, 40.683167, 40.39348, 40.279274, 39.865173, 38.171234, 38.065586, 37.944607, 37.626278, 37.206497, 36.56088, 36.51485, 35.41401, 34.835373, 34.809776, 34.45635, 34.371803, 34.207844, 33.935333, 33.679382, 33.291916, 33.287827, 33.220123]"
One difficulty with reuse is selecting an appropriate component. Describe a strategy for finding a reusable component. What guidelines or styles would help in the process of selecting a component for reuse?,"[0.2642028331756592, 0.3311169147491455, 0.3336414694786072, 0.3404989242553711, 0.3809048533439636, 0.38609713315963745, 0.387462854385376, 0.3899444341659546, 0.39446234703063965, 0.39647436141967773, 0.40535831451416016, 0.411041259765625, 0.4138638973236084, 0.42017585039138794, 0.43221938610076904, 0.43318212032318115, 0.4352900981903076, 0.43795710802078247, 0.4611390233039856, 0.4692709445953369, 0.4771847128868103, 0.4838904142379761, 0.48429250717163086, 0.494202196598053, 0.4946402311325073, 0.5030615329742432, 0.5072165131568909, 0.5076391100883484, 0.5096431374549866, 0.5098671913146973]","[0.7357971668243408, 0.6688830852508545, 0.6663585305213928, 0.6595010757446289, 0.6190951466560364, 0.6139028668403625, 0.612537145614624, 0.6100555658340454, 0.6055376529693604, 0.6035256385803223, 0.5946416854858398, 0.588958740234375, 0.5861361026763916, 0.5798241496086121, 0.567780613899231, 0.5668178796768188, 0.5647099018096924, 0.5620428919792175, 0.5388609766960144, 0.5307290554046631, 0.5228152871131897, 0.5161095857620239, 0.5157074928283691, 0.505797803401947, 0.5053597688674927, 0.49693846702575684, 0.49278348684310913, 0.4923608899116516, 0.4903568625450134, 0.49013280868530273]","[27.375343, 22.187511, 21.635813, 20.790575, 20.258753, 19.339104, 18.962975, 18.351593, 18.317385, 17.739141, 17.305609, 17.298647, 16.99559, 16.977016, 16.895031, 16.499504, 16.48182, 16.276834, 16.234081, 16.192715, 16.016129, 16.00664, 15.989948, 15.937061, 15.886605, 15.87875, 15.842514, 15.816357, 15.722958, 15.627204]"
Explain the relationship between the design and implementation. Why is it important to match the implementation to the design? What would you do to keep the two consistent?,"[0.33745765686035156, 0.4273267388343811, 0.44688117504119873, 0.45221197605133057, 0.4527518153190613, 0.46274125576019287, 0.46508902311325073, 0.47035980224609375, 0.4736008644104004, 0.4750434160232544, 0.48329609632492065, 0.48502612113952637, 0.48511451482772827, 0.48661917448043823, 0.4870149493217468, 0.4879411458969116, 0.4885321259498596, 0.49161070585250854, 0.49346768856048584, 0.4940544366836548, 0.4952203631401062, 0.4953346252441406, 0.49600517749786377, 0.4963429570198059, 0.4969680905342102, 0.5007476210594177, 0.5018652081489563, 0.5019715428352356, 0.5029138326644897, 0.5046539902687073]","[0.6625423431396484, 0.5726732611656189, 0.5531188249588013, 0.5477880239486694, 0.5472481846809387, 0.5372587442398071, 0.5349109768867493, 0.5296401977539062, 0.5263991355895996, 0.5249565839767456, 0.5167039036750793, 0.5149738788604736, 0.5148854851722717, 0.5133808255195618, 0.5129850506782532, 0.5120588541030884, 0.5114678740501404, 0.5083892941474915, 0.5065323114395142, 0.5059455633163452, 0.5047796368598938, 0.5046653747558594, 0.5039948225021362, 0.5036570429801941, 0.5030319094657898, 0.4992523789405823, 0.4981347918510437, 0.4980284571647644, 0.49708616733551025, 0.4953460097312927]","[19.060236, 18.55765, 17.802156, 17.579487, 17.224731, 17.213018, 17.129025, 17.035948, 17.033026, 16.744438, 16.02612, 15.947921, 15.712001, 15.616375, 15.449171, 15.060237, 14.5798855, 14.51667, 14.062184, 13.882506, 13.726425, 13.636977, 13.621376, 13.51081, 13.499105, 13.474089, 13.399421, 13.350078, 13.228947, 13.209223]"
How does system testing differ from unit and integration testing?,"[0.35567599534988403, 0.37833189964294434, 0.3830111026763916, 0.38989198207855225, 0.3906630873680115, 0.3931969404220581, 0.3989673852920532, 0.40571922063827515, 0.4068417549133301, 0.4122328758239746, 0.41965073347091675, 0.4200950860977173, 0.4283110499382019, 0.42866528034210205, 0.4291353225708008, 0.4306715726852417, 0.4337620139122009, 0.4413120150566101, 0.44479990005493164, 0.44712376594543457, 0.4487560987472534, 0.4490739107131958, 0.45027077198028564, 0.4510698914527893, 0.45263564586639404, 0.45411020517349243, 0.4560483694076538, 0.45898258686065674, 0.4590455889701843, 0.45951783657073975]","[0.644324004650116, 0.6216681003570557, 0.6169888973236084, 0.6101080179214478, 0.6093369126319885, 0.6068030595779419, 0.6010326147079468, 0.5942807793617249, 0.5931582450866699, 0.5877671241760254, 0.5803492665290833, 0.5799049139022827, 0.5716889500617981, 0.571334719657898, 0.5708646774291992, 0.5693284273147583, 0.5662379860877991, 0.5586879849433899, 0.5552000999450684, 0.5528762340545654, 0.5512439012527466, 0.5509260892868042, 0.5497292280197144, 0.5489301085472107, 0.547364354133606, 0.5458897948265076, 0.5439516305923462, 0.5410174131393433, 0.5409544110298157, 0.5404821634292603]","[16.460032, 14.7717905, 14.538264, 13.512121, 13.4467125, 13.163679, 12.979062, 12.953312, 12.653219, 12.226764, 12.171612, 12.07265, 11.916558, 11.7211485, 11.556303, 11.318386, 11.298874, 11.135277, 10.3664, 10.261374, 10.06233, 10.044571, 9.8913765, 9.877421, 9.806041, 9.64498, 9.465372, 9.348117, 9.270171, 9.259589]"
What is the difference between verification and validation? Which types of testing address verification? Which types of testing address validation?,"[0.4337459206581116, 0.45280325412750244, 0.48053407669067383, 0.4971492290496826, 0.5047361850738525, 0.5144333839416504, 0.5460918545722961, 0.5783699154853821, 0.5842680335044861, 0.5844525694847107, 0.6003080010414124, 0.6020113825798035, 0.6067538857460022, 0.608271598815918, 0.6204821467399597, 0.6216148138046265, 0.6219760179519653, 0.6241961717605591, 0.6301339864730835, 0.6324415802955627, 0.6324595212936401, 0.6328408718109131, 0.6339643001556396, 0.6351367831230164, 0.6353196501731873, 0.6367054581642151, 0.6372132301330566, 0.6377743482589722, 0.638428807258606, 0.6408956050872803]","[0.5662540793418884, 0.5471967458724976, 0.5194659233093262, 0.5028507709503174, 0.49526381492614746, 0.4855666160583496, 0.45390814542770386, 0.4216300845146179, 0.4157319664955139, 0.4155474305152893, 0.39969199895858765, 0.39798861742019653, 0.3932461142539978, 0.39172840118408203, 0.3795178532600403, 0.37838518619537354, 0.37802398204803467, 0.3758038282394409, 0.3698660135269165, 0.36755841970443726, 0.36754047870635986, 0.3671591281890869, 0.36603569984436035, 0.36486321687698364, 0.36468034982681274, 0.3632945418357849, 0.36278676986694336, 0.36222565174102783, 0.36157119274139404, 0.3591043949127197]","[17.47873, 17.219408, 15.551678, 14.9997225, 14.537959, 13.794786, 13.050661, 12.780579, 12.569188, 12.554071, 12.126892, 11.754286, 11.268691, 10.807366, 10.692909, 10.622103, 10.523481, 10.332501, 10.179539, 10.113752, 10.092747, 10.032519, 9.954813, 9.945757, 9.658811, 9.605192, 9.442015, 9.407048, 9.344656, 9.287714]"
Describe the principles of Cleanroom and how it differs from conventional testing.,"[0.3512595295906067, 0.35917341709136963, 0.3993486166000366, 0.3999443054199219, 0.41006410121917725, 0.4165925979614258, 0.4266761541366577, 0.46520328521728516, 0.4842681884765625, 0.5177665948867798, 0.5311164855957031, 0.5374776721000671, 0.5383625626564026, 0.57457435131073, 0.5909969806671143, 0.5921630859375, 0.5984055995941162, 0.605635941028595, 0.6152145862579346, 0.61761075258255, 0.6192117929458618, 0.6248990297317505, 0.6284294724464417, 0.6311389207839966, 0.6340863108634949, 0.6350932121276855, 0.6353006958961487, 0.6396843791007996, 0.6426597237586975, 0.6437518000602722]","[0.6487404704093933, 0.6408265829086304, 0.6006513833999634, 0.6000556945800781, 0.5899358987808228, 0.5834074020385742, 0.5733238458633423, 0.5347967147827148, 0.5157318115234375, 0.4822334051132202, 0.4688835144042969, 0.46252232789993286, 0.4616374373435974, 0.42542564868927, 0.40900301933288574, 0.4078369140625, 0.4015944004058838, 0.39436405897140503, 0.38478541374206543, 0.38238924741744995, 0.3807882070541382, 0.3751009702682495, 0.37157052755355835, 0.3688610792160034, 0.3659136891365051, 0.36490678787231445, 0.3646993041038513, 0.36031562089920044, 0.3573402762413025, 0.3562481999397278]","[17.940876, 13.150562, 12.263083, 11.944272, 11.929233, 11.075884, 10.792575, 10.356679, 10.10951, 10.095353, 10.084572, 9.848212, 9.446523, 9.223069, 9.177381, 9.147706, 8.842401, 8.715976, 8.626717, 8.61611, 8.519928, 8.425827, 8.29315, 8.220393, 8.201509, 8.195975, 8.174637, 8.0770035, 8.069811, 8.013523]"
