question,context,answer,retrieve_time_sec,generate_time_sec
To address this problem, the configuration management team performs change control. The team oversees the libraries of code and documents, and developers must 'check out' copies when making fixes. In our example, Jill would not have been able to obtain a copy of initialize until Jack had replaced his version with a corrected, tested version. Or the configuration management team would have taken the extra step of consolidating Jack's and Jill's versions into one version; then, the consolidated version would have undergone regression testing as well as testing to ensure that both failures were eliminated.
An additional method for ensuring that all project members are working with the most up-to-date documents is to keep a single, definitive copy of each online. By updating only these copies, we avoid the time lag usually caused by distributing new or revised pages. In this way, the configuration management team still maintains some degree of control to make sure that changes to documents mirror changes to design and code. We may still have to 'check out' versions in order to change them, and we


[1]
[SECTION]: Testing the Programs > 8.16 Exercises
[CONTENT]:  - A program is seeded with 25 faults. During testing, 18 faults are detected, 13 of which are seeded faults and 5 of which are indigenous faults.What is Mills's estimate of the number of indigenous faults remaining undetected in the program?
 - You claim that your program is fault-free at a 95% confidence level. Your test plan calls for you to test until you find all seeded faults. With how many faults must you seed the program before testing in order to substantiate your claim? If for some reason you do not intend to find all seeded faults, how may seeded faults does the Richards formula require?
 - Discuss the differences in testing a business-critical system, a safety-critical system, and a system whose failure would not seriously affect lives, health, or business.
 - Give an example of an object-oriented system where synchronization problems require careful testing.
 - If an independent test team does integration testing and a critical fault remains in the code after testing is complete, who is legally and ethically responsible for the damage caused by the fault?
 - Suppose you are building a tax preparation system that has three components. The first component creates forms on the screen, allowing the user to type in name, address, tax identification number, and financial information. The second component uses tax tables and the input information to calculate the amount of tax owed for the current year. The third component uses the address information to print forms for federal, state (or provincial), and city taxes, including the amount owed. Describe the strategy you would use to test this system, and outline your test cases in a test plan.
9


[2]
[SECTION]: Maintaining the System > 11.3 Maintenance Problems > Technical Problems
[CONTENT]: Technical problems also affect maintenance productivity. Sometimes, they are a legacy of what developers and maintainers have done before.At other times, they result from particular paradigms or processes that have been adopted for the implementation.
Artifacts and Paradigms. If the design's logic is not obvious, the team may not easily determine whether the design can handle proposed changes.A flawed or inflexible design can require extra time for understanding, changing, and testing. For instance, developers may have included a component for input and output that handles only tape; major modifications must be made for disk access, because the disk is not constrained by the tape's sequential access. Similarly, the developers may not have anticipated changes; field and table sizes may be fixed, making them difficult to modify.The 'year 2000 problem,' where many developers represented the year as only two characters, is a good example of how simple but narrow design decisions can have a major effect on maintenance.
Maintaining  object-oriented  programs  can  be  problematic, too, because  the design often involves components that are highly interconnected by complex inheritance schemes. Incremental changes must be made with great care, since modifications can result in long chains of classes that hide others or that redefine objects in conflicting ways. Sidebar 11.2 describes more of the particular design trade-offs involved when maintaining object-oriented systems.
In general, inadequate design specifications and low-quality programs and documentation account for almost 10% of maintenance effort.A similar amount of effort is dedicated to hardware requirements: getting adequate storage and processing time.As a student, you understand the frustration of having a problem to solve but having no access to a workstation, or having to dial repeatedly to obtain remote access. Problems also arise when hardware, software, or data are unreliable.


[3]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Functions and Relations
[CONTENT]: [FIGURE 4.16 Decision table for library functions.] 
[FIGURE_DESCRIPTIONS]
[0] A table displaying boolean logic values for various events and conditions related to item borrowing and returning in a library system. Columns represent different events: borrow, return, reserve, unreserve, item out on loan, item on reserve, and patrons.fines > 0.00. Rows list events and conditions with corresponding True (T), False (F), or dash (-) values indicating the state for each event. Below the table, a list of actions with checkmarks (X) indicates which actions to perform for each event: (Re-)Calculate due date, Put item in stacks, Put item on reserve shelf, Send recall notice, Reject event. The table is used to determine system behavior based on event and condition combinations.



[4]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Data-Flow Diagrams
[CONTENT]: [FIGURE 4.14 Data-flow diagram of the library problem.] 
[FIGURE_DESCRIPTIONS]
[0] A flowchart illustrating the interactions in a library system involving Patron, Librarian, Reserve, Borrow, Return, and Process Fines. The Patron interacts with the Librarian by requesting to put items on reserve and borrowing items. The Librarian manages titles, authors, subjects, and knowledge of library layout and contents. The Reserve component handles decisions about putting items on reserve and maintains Reserve Records. Borrow tracks usage trends and items borrowed, updating Loan Records. Return manages items returned and due dates. Process Fines handles overdue fines and payments, updating Patrons' Fines. Arrows indicate the flow of requests, items borrowed and returned, payments, and records between components.



[5]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > Sources of Software Faults
[CONTENT]: [FIGURE 9.1 Causes of faults during development.] 
The programmers and designers on our development team may also fail to use the proper syntax and semantics for recording their work.A compiler or assembler can catch some of these faults before a program is run,but they will not find faults when the form of a statement is correct but does not match the intention of the programmer or designer.
[FIGURE_DESCRIPTIONS]
[0] A vertical flowchart illustrating stages of software development and associated common errors. Stages listed from top to bottom: Requirements analysis, System design, Program design, Program implementation, Unit/integration testing, System testing, Maintenance. Each stage has arrows pointing right to descriptions of typical errors: Requirements analysis - Incorrect, missing, or unclear requirements; Incorrect or unclear translation. System design - Incorrect or unclear design specifications. Program design - Incorrect or unclear design specifications; Misinterpretation of system design. Program implementation - Misinterpretation of program design; Incorrect documentation; Incorrect syntax or semantics. Unit/integration testing - Incomplete test procedures; New faults introduced when old ones corrected. System testing - Incomplete test procedures. Maintenance - Incorrect user documentation; Poor human factors; New faults introduced when old ones corrected; Changes in requirements.

","The problem where the fine_total variable is not initialized in the code for calculating late fees is classified as a fault. 

Explanation:
- An error is a human mistake made during development (e.g., a programmer forgetting to initialize a variable).
- A fault is the manifestation of that error in the code (e.g., the actual code missing the initialization of fine_total).
- A failure occurs when the system behaves incorrectly during execution due to the fault (e.g., incorrect calculation of late fees when the program runs).

In this case, the uninitialized fine_total variable is a fault in the code caused by an error (the programmer's oversight). If this fault causes incorrect fee calculation during execution, it would result in a failure.",1.981,3.399
"Suppose a library system is being developed. The system has three major subsystems: one that handles the check-out/check-in transactions; one that handles inventories; and one that handles reports. During the development of the system, several problems occur. Identify the problems as errors, faults or failures. While a librarian is attempting to add a new book title to the inventory, the system shuts down.","
[0]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > Configuration Management
[CONTENT]: For example, suppose a power plant is automating the functions performed in the control room. The power plant operators have been trained to do everything manually and are uneasy about working with the computer,so we decide to build a phased system. The first phase is almost identical to the manual system, but it allows the plant operators to do some automated record keeping.The second phase adds several automated functions to the first phase, but half of the control room functions are still manual. Successive phases continue to automate selected functions, building on the previous phases until all functions are automated.By expanding the automated system in this way,we allow plant operators slowly to become accustomed to and feel comfortable with the new system.
At any point during the phased development, the plant operators are using the fully tested production system. At the same time, we are working on the next phase, testing the development system. When the development system is completely tested and ready for use by the plant operators, it becomes the production system (i.e., it is used by the plant operators) and we move on to the next phase. When working on the development system, we add functions to the current production or operational system to form the new development system.
While a system is in production, problems may occur and be reported to us.Thus, a development system often serves two purposes: it adds the functionality of the next phase, and it corrects the problems found in previous versions. A development system can therefore involve adding new components as well as changing existing ones. However, this procedure allows faults to be introduced to components that have already been tested.When we write a build plan and test plans, we should address this situation and  consider  the  need  for  controlling  changes  implemented  from  one  version  and release to the next.Additional testing can make sure that the development system performs at least as well as the current production system. However, records must be kept of the exact changes made to the code from one version to the next, so that we can trace problems to their source. For example, if a user on the production system reports a problem, we must know what version and release of the code are being used.The code may differ dramatically from one version to another. If we work with the wrong listing, we may never locate the problem's cause. Worse yet, we may think we have found the cause, making a change that introduces a new fault while not really fixing the old one!


[1]
[SECTION]: Designing the Architecture > 5.5 Achieving Quality Attributes > SIDEBAR 5.6 THE NEED FOR SAFE DESIGN
[CONTENT]: In other systems, a second computer, running in parallel, is used to monitor the progress and health of the primary system. The second system interrogates the first, examining the system's data and processes, looking for signs that might indicate a problem. For instance, the second system may find a process that has not been scheduled for a long period of time. This symptom may indicate that the first system is 'stuck' somewhere,looping through a process or waiting for input. Or the system may find a block of storage that was allocated and is no longer in use, but is not yet on the list of available blocks. Or the second system may discover a communication line that has not been released at the end of a transmission. If the second system cannot directly examine the first system's data or processes, it can instead initiate diagnostic transactions . This technique involves having the second system generate false but benign transactions in the first computer, to determine if the first system is working properly. For example, the second system can open a communication channel to the first, to ensure that the first system still responds to such requests.
Fault Recovery. A detected fault must be handled as soon as it is discovered, rather than waiting until processing is complete. Such immediate fault handling helps to limit the fault's damage, rather than allowing the fault to become a failure and create a trail of destruction. Fault-recovery tactics usually involve some overhead in keeping the system ready for recovery:
 - Undoing  transactions: The  system  manages  a  series  of  actions  as  a  single transaction that either executes in its entirety, or whose partial effects are easily undone if a fault occurs midway through the transaction.
 - Checkpoint/rollback: Periodically, or  after  a  specific  operation, the  software records  a  checkpoint  of  its  current  state. If  the  system  subsequently  gets  into
 - trouble, it 'rolls' its execution back to this recorded state, and reapplies logged transactions that occurred since the checkpoint.


[2]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > SIDEBAR 9.2 DELTAS AND SEPARATE FILES
[CONTENT]: Change control is further complicated when more than one developer is making a change to the same component. For instance, suppose that two failures occur during testing. Jack is assigned to find and fix the cause of the first failure, and Jill is assigned to find and fix the cause of the second.Although the failures at first seem unrelated, Jack and Jill both discover that the root cause is in a code component called initialize . Jack may remove initialize from the system library, make his changes, and place his corrected version back in  the  library. Then Jill, working from the original version, makes her corrections and replaces Jack's corrections with hers, thereby undoing his! Regression testing may reveal that Jack's assigned fault is still uncorrected, but effort and time have been wasted.
To address this problem, the configuration management team performs change control. The team oversees the libraries of code and documents, and developers must 'check out' copies when making fixes. In our example, Jill would not have been able to obtain a copy of initialize until Jack had replaced his version with a corrected, tested version. Or the configuration management team would have taken the extra step of consolidating Jack's and Jill's versions into one version; then, the consolidated version would have undergone regression testing as well as testing to ensure that both failures were eliminated.
An additional method for ensuring that all project members are working with the most up-to-date documents is to keep a single, definitive copy of each online. By updating only these copies, we avoid the time lag usually caused by distributing new or revised pages. In this way, the configuration management team still maintains some degree of control to make sure that changes to documents mirror changes to design and code. We may still have to 'check out' versions in order to change them, and we


[3]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Data-Flow Diagrams
[CONTENT]: [FIGURE 4.14 Data-flow diagram of the library problem.] 
[FIGURE_DESCRIPTIONS]
[0] A flowchart illustrating the interactions in a library system involving Patron, Librarian, Reserve, Borrow, Return, and Process Fines. The Patron interacts with the Librarian by requesting to put items on reserve and borrowing items. The Librarian manages titles, authors, subjects, and knowledge of library layout and contents. The Reserve component handles decisions about putting items on reserve and maintains Reserve Records. Borrow tracks usage trends and items borrowed, updating Loan Records. Return manages items returned and due dates. Process Fines handles overdue fines and payments, updating Patrons' Fines. Arrows indicate the flow of requests, items borrowed and returned, payments, and records between components.

","The problem described, where the system shuts down while a librarian is attempting to add a new book title to the inventory, is a failure. 

Explanation:
- An error is a human mistake made during development or use.
- A fault (or bug) is a defect in the system caused by an error.
- A failure is the system's incorrect behavior or breakdown when executing a function, such as shutting down unexpectedly.

In this case, the system shutting down is the failure observed by the user. The underlying cause could be a fault in the code related to adding new book titles, which originated from an error during development.",2.147,4.51
"Suppose a library system is being developed. The system has three major subsystems: one that handles the check-out/check-in transactions; one that handles inventories; and one that handles reports. During the development of the system, several problems occur. Identify the problems as errors, faults or failures. The requirements writer is unaware that a library card is not necessary for the check-in transaction.","
[0]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > SIDEBAR 9.2 DELTAS AND SEPARATE FILES
[CONTENT]: Change control is further complicated when more than one developer is making a change to the same component. For instance, suppose that two failures occur during testing. Jack is assigned to find and fix the cause of the first failure, and Jill is assigned to find and fix the cause of the second.Although the failures at first seem unrelated, Jack and Jill both discover that the root cause is in a code component called initialize . Jack may remove initialize from the system library, make his changes, and place his corrected version back in  the  library. Then Jill, working from the original version, makes her corrections and replaces Jack's corrections with hers, thereby undoing his! Regression testing may reveal that Jack's assigned fault is still uncorrected, but effort and time have been wasted.
To address this problem, the configuration management team performs change control. The team oversees the libraries of code and documents, and developers must 'check out' copies when making fixes. In our example, Jill would not have been able to obtain a copy of initialize until Jack had replaced his version with a corrected, tested version. Or the configuration management team would have taken the extra step of consolidating Jack's and Jill's versions into one version; then, the consolidated version would have undergone regression testing as well as testing to ensure that both failures were eliminated.
An additional method for ensuring that all project members are working with the most up-to-date documents is to keep a single, definitive copy of each online. By updating only these copies, we avoid the time lag usually caused by distributing new or revised pages. In this way, the configuration management team still maintains some degree of control to make sure that changes to documents mirror changes to design and code. We may still have to 'check out' versions in order to change them, and we


[1]
[SECTION]: Maintaining the System > 11.3 Maintenance Problems > Technical Problems
[CONTENT]: Technical problems also affect maintenance productivity. Sometimes, they are a legacy of what developers and maintainers have done before.At other times, they result from particular paradigms or processes that have been adopted for the implementation.
Artifacts and Paradigms. If the design's logic is not obvious, the team may not easily determine whether the design can handle proposed changes.A flawed or inflexible design can require extra time for understanding, changing, and testing. For instance, developers may have included a component for input and output that handles only tape; major modifications must be made for disk access, because the disk is not constrained by the tape's sequential access. Similarly, the developers may not have anticipated changes; field and table sizes may be fixed, making them difficult to modify.The 'year 2000 problem,' where many developers represented the year as only two characters, is a good example of how simple but narrow design decisions can have a major effect on maintenance.
Maintaining  object-oriented  programs  can  be  problematic, too, because  the design often involves components that are highly interconnected by complex inheritance schemes. Incremental changes must be made with great care, since modifications can result in long chains of classes that hide others or that redefine objects in conflicting ways. Sidebar 11.2 describes more of the particular design trade-offs involved when maintaining object-oriented systems.
In general, inadequate design specifications and low-quality programs and documentation account for almost 10% of maintenance effort.A similar amount of effort is dedicated to hardware requirements: getting adequate storage and processing time.As a student, you understand the frustration of having a problem to solve but having no access to a workstation, or having to dial repeatedly to obtain remote access. Problems also arise when hardware, software, or data are unreliable.


[2]
[SECTION]: Testing the System > 9.9 Testing Safety-Critical Systems > SIDEBAR 9.10 SUGGESTIONS FOR BUILDING SAFETY-CRITICAL SOFTWARE
[CONTENT]: For example, Knight and Leveson (1986) performed an experiment in which 27 versions of a software system were developed independently.They examined the faults discovered in each system and found a high incidence of common ones. Knight and Leveson speculate that, because we train our software developers to use common techniques and common approaches to design, we can expect different designers and developers  to  make  the  same  kinds  of  mistakes. Eckhardt  and  Lee  (1985)  discuss  a theoretical scenario, based on the notion of varying the difficulty of different inputs, that supports these empirical findings.
Miller (1986) points out that, even if we build redundant systems that fail independently, we must still try to estimate the dependence between any two versions. He shows that this demonstration is as difficult as the problem of testing the resulting system as a black box, and claims this to be an essentially impossible task.


[3]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Functions and Relations
[CONTENT]: [FIGURE 4.16 Decision table for library functions.] 
[FIGURE_DESCRIPTIONS]
[0] A table displaying boolean logic values for various events and conditions related to item borrowing and returning in a library system. Columns represent different events: borrow, return, reserve, unreserve, item out on loan, item on reserve, and patrons.fines > 0.00. Rows list events and conditions with corresponding True (T), False (F), or dash (-) values indicating the state for each event. Below the table, a list of actions with checkmarks (X) indicates which actions to perform for each event: (Re-)Calculate due date, Put item in stacks, Put item on reserve shelf, Send recall notice, Reject event. The table is used to determine system behavior based on event and condition combinations.



[4]
[SECTION]: Designing the Architecture > 5.5 Achieving Quality Attributes > SIDEBAR 5.6 THE NEED FOR SAFE DESIGN
[CONTENT]: Active Fault Detection. When we design a system to wait until a failure occurs during execution, we are practicing passive fault detection . However, if we periodically check for symptoms of faults, or try to anticipate when failures will occur, we are performing active fault detection . A common method for detecting faults within a process is  to  identify  known exceptions -that is, situations that cause the system to deviate from its desired behavior. Then, we include exception handling in our design, so that the system addresses each exception in a satisfactory way and returns the system to an acceptable state.Thus, for each service we want our system to provide, we identify ways it may fail and ways to detect that it has failed.Typical exceptions include For example, we can detect data problems by identifying relationships or invariants that should hold among data values and checking regularly at runtime that these invariants still hold at runtime. Such checks can be embedded in the same code that manipulates the data. We say more in Chapter 6 about how to use exceptions and exception handling effectively.
 - failing to provide a service
 - providing the wrong service
 - corrupting data
 - violating a system invariant (e.g., security property)
 - deadlocking


[5]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Data-Flow Diagrams
[CONTENT]: [FIGURE 4.14 Data-flow diagram of the library problem.] 
[FIGURE_DESCRIPTIONS]
[0] A flowchart illustrating the interactions in a library system involving Patron, Librarian, Reserve, Borrow, Return, and Process Fines. The Patron interacts with the Librarian by requesting to put items on reserve and borrowing items. The Librarian manages titles, authors, subjects, and knowledge of library layout and contents. The Reserve component handles decisions about putting items on reserve and maintains Reserve Records. Borrow tracks usage trends and items borrowed, updating Loan Records. Return manages items returned and due dates. Process Fines handles overdue fines and payments, updating Patrons' Fines. Arrows indicate the flow of requests, items borrowed and returned, payments, and records between components.

","The problem described, where the requirements writer is unaware that a library card is not necessary for the check-in transaction, is an error. 

Explanation:
- An **error** is a mistake made by a person, such as a misunderstanding or incorrect requirement.
- A **fault** is a defect in the system, such as incorrect code or design resulting from an error.
- A **failure** is the system's inability to perform as expected, often caused by a fault.

In this case, the requirements writer's misunderstanding (error) about the necessity of a library card for check-in could lead to faults in the system design or implementation, and eventually failures during system operation or testing.",2.138,2.495
"Suppose a library system is being developed. The system has three major subsystems: one that handles the check-out/check-in transactions; one that handles inventories; and one that handles reports. During the development of the system, several problems occur. Identify the problems as errors, faults or failures. In the requirements document, a late fee is specified as $0.25 per day with a maximum of $15. The code for calculating the late fee does not check for the maximum fee.","
[0]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > SIDEBAR 9.2 DELTAS AND SEPARATE FILES
[CONTENT]: Change control is further complicated when more than one developer is making a change to the same component. For instance, suppose that two failures occur during testing. Jack is assigned to find and fix the cause of the first failure, and Jill is assigned to find and fix the cause of the second.Although the failures at first seem unrelated, Jack and Jill both discover that the root cause is in a code component called initialize . Jack may remove initialize from the system library, make his changes, and place his corrected version back in  the  library. Then Jill, working from the original version, makes her corrections and replaces Jack's corrections with hers, thereby undoing his! Regression testing may reveal that Jack's assigned fault is still uncorrected, but effort and time have been wasted.
To address this problem, the configuration management team performs change control. The team oversees the libraries of code and documents, and developers must 'check out' copies when making fixes. In our example, Jill would not have been able to obtain a copy of initialize until Jack had replaced his version with a corrected, tested version. Or the configuration management team would have taken the extra step of consolidating Jack's and Jill's versions into one version; then, the consolidated version would have undergone regression testing as well as testing to ensure that both failures were eliminated.
An additional method for ensuring that all project members are working with the most up-to-date documents is to keep a single, definitive copy of each online. By updating only these copies, we avoid the time lag usually caused by distributing new or revised pages. In this way, the configuration management team still maintains some degree of control to make sure that changes to documents mirror changes to design and code. We may still have to 'check out' versions in order to change them, and we


[1]
[SECTION]: Testing the Programs > 8.16 Exercises
[CONTENT]:  - A program is seeded with 25 faults. During testing, 18 faults are detected, 13 of which are seeded faults and 5 of which are indigenous faults.What is Mills's estimate of the number of indigenous faults remaining undetected in the program?
 - You claim that your program is fault-free at a 95% confidence level. Your test plan calls for you to test until you find all seeded faults. With how many faults must you seed the program before testing in order to substantiate your claim? If for some reason you do not intend to find all seeded faults, how may seeded faults does the Richards formula require?
 - Discuss the differences in testing a business-critical system, a safety-critical system, and a system whose failure would not seriously affect lives, health, or business.
 - Give an example of an object-oriented system where synchronization problems require careful testing.
 - If an independent test team does integration testing and a critical fault remains in the code after testing is complete, who is legally and ethically responsible for the damage caused by the fault?
 - Suppose you are building a tax preparation system that has three components. The first component creates forms on the screen, allowing the user to type in name, address, tax identification number, and financial information. The second component uses tax tables and the input information to calculate the amount of tax owed for the current year. The third component uses the address information to print forms for federal, state (or provincial), and city taxes, including the amount owed. Describe the strategy you would use to test this system, and outline your test cases in a test plan.
9


[2]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures > Types of Faults
[CONTENT]: In  developing real-time systems, a critical consideration is the coordination of several processes executing simultaneously or in a carefully defined sequence. Timing or coordination faults occur when the code coordinating these events is inadequate. There are two reasons why this kind of fault is hard to identify and correct. First, it is usually difficult for designers and programmers to anticipate all possible system states. Second, because so many factors are involved with timing and processing, it may be impossible to replicate a fault after it has occurred.
Throughput or performance faults occur when the system does not perform at the speed prescribed by the requirements. These are timing problems of a different sort: Time constraints are placed on the system's performance by the customer's requirements rather than by the need for coordination.
As we saw during design and programming, we take great care to ensure that the system can recover from a variety of failures. Recovery faults can occur when a failure is encountered and the system does not behave as the designers desire or as the customer requires. For example, if a power failure occurs during system processing, the system should recover in an acceptable manner, such as restoring all files to their state just prior to the failure. For some systems, such recovery may mean that the system will continue full processing by using a backup power source; for others, this recovery means that the system keeps a log of transactions, allowing it to continue processing whenever power is restored.
For many systems, some of the hardware and related system software are prescribed in the requirements, and the components are designed according to the specifications of the reused or purchased programs. For example, if a prescribed modem is used for communications, the modem driver generates the commands expected by the modem and reads commands received from the modem. However, hardware and system software faults can arise when the supplied hardware and system software do not actually work according to the documented operating conditions and procedures.


[3]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Data-Flow Diagrams
[CONTENT]: [FIGURE 4.14 Data-flow diagram of the library problem.] 
[FIGURE_DESCRIPTIONS]
[0] A flowchart illustrating the interactions in a library system involving Patron, Librarian, Reserve, Borrow, Return, and Process Fines. The Patron interacts with the Librarian by requesting to put items on reserve and borrowing items. The Librarian manages titles, authors, subjects, and knowledge of library layout and contents. The Reserve component handles decisions about putting items on reserve and maintains Reserve Records. Borrow tracks usage trends and items borrowed, updating Loan Records. Return manages items returned and due dates. Process Fines handles overdue fines and payments, updating Patrons' Fines. Arrows indicate the flow of requests, items borrowed and returned, payments, and records between components.



[4]
[SECTION]: Capturing the Requirements > 4.5 Modeling Notations > Functions and Relations
[CONTENT]: [FIGURE 4.16 Decision table for library functions.] 
[FIGURE_DESCRIPTIONS]
[0] A table displaying boolean logic values for various events and conditions related to item borrowing and returning in a library system. Columns represent different events: borrow, return, reserve, unreserve, item out on loan, item on reserve, and patrons.fines > 0.00. Rows list events and conditions with corresponding True (T), False (F), or dash (-) values indicating the state for each event. Below the table, a list of actions with checkmarks (X) indicates which actions to perform for each event: (Re-)Calculate due date, Put item in stacks, Put item on reserve shelf, Send recall notice, Reject event. The table is used to determine system behavior based on event and condition combinations.



[5]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > Sources of Software Faults
[CONTENT]: [FIGURE 9.1 Causes of faults during development.] 
The programmers and designers on our development team may also fail to use the proper syntax and semantics for recording their work.A compiler or assembler can catch some of these faults before a program is run,but they will not find faults when the form of a statement is correct but does not match the intention of the programmer or designer.
[FIGURE_DESCRIPTIONS]
[0] A vertical flowchart illustrating stages of software development and associated common errors. Stages listed from top to bottom: Requirements analysis, System design, Program design, Program implementation, Unit/integration testing, System testing, Maintenance. Each stage has arrows pointing right to descriptions of typical errors: Requirements analysis - Incorrect, missing, or unclear requirements; Incorrect or unclear translation. System design - Incorrect or unclear design specifications. Program design - Incorrect or unclear design specifications; Misinterpretation of system design. Program implementation - Misinterpretation of program design; Incorrect documentation; Incorrect syntax or semantics. Unit/integration testing - Incomplete test procedures; New faults introduced when old ones corrected. System testing - Incomplete test procedures. Maintenance - Incorrect user documentation; Poor human factors; New faults introduced when old ones corrected; Changes in requirements.

","The problem described in the library system development is a fault. Specifically, the code for calculating the late fee does not check for the maximum fee of $15 as specified in the requirements document. This means there is an incorrect or missing implementation in the code (a fault) that deviates from the intended behavior defined by the requirements.

- Error: A human mistake made during requirements analysis, design, or coding (e.g., misunderstanding the maximum fee requirement).
- Fault: The manifestation of the error in the software, such as the code not enforcing the maximum fee limit.
- Failure: The observable incorrect behavior when the system calculates a late fee exceeding $15 during execution.

In this case, the fault is the missing check in the code, and if the system calculates a late fee above $15 during operation, that would be a failure.",3.399,2.984
"Suppose a library system is being developed. The system has three major subsystems: one that handles the check-out/check-in transactions; one that handles inventories; and one that handles reports. During the development of the system, several problems occur. Identify the problems as errors, faults or failures. Every evening at 11pm, the library system is supposed to perform a backup of the daily transactions. The backup for Tuesday night did not occur.","
[0]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > Configuration Management
[CONTENT]: For example, suppose a power plant is automating the functions performed in the control room. The power plant operators have been trained to do everything manually and are uneasy about working with the computer,so we decide to build a phased system. The first phase is almost identical to the manual system, but it allows the plant operators to do some automated record keeping.The second phase adds several automated functions to the first phase, but half of the control room functions are still manual. Successive phases continue to automate selected functions, building on the previous phases until all functions are automated.By expanding the automated system in this way,we allow plant operators slowly to become accustomed to and feel comfortable with the new system.
At any point during the phased development, the plant operators are using the fully tested production system. At the same time, we are working on the next phase, testing the development system. When the development system is completely tested and ready for use by the plant operators, it becomes the production system (i.e., it is used by the plant operators) and we move on to the next phase. When working on the development system, we add functions to the current production or operational system to form the new development system.
While a system is in production, problems may occur and be reported to us.Thus, a development system often serves two purposes: it adds the functionality of the next phase, and it corrects the problems found in previous versions. A development system can therefore involve adding new components as well as changing existing ones. However, this procedure allows faults to be introduced to components that have already been tested.When we write a build plan and test plans, we should address this situation and  consider  the  need  for  controlling  changes  implemented  from  one  version  and release to the next.Additional testing can make sure that the development system performs at least as well as the current production system. However, records must be kept of the exact changes made to the code from one version to the next, so that we can trace problems to their source. For example, if a user on the production system reports a problem, we must know what version and release of the code are being used.The code may differ dramatically from one version to another. If we work with the wrong listing, we may never locate the problem's cause. Worse yet, we may think we have found the cause, making a change that introduces a new fault while not really fixing the old one!


[1]
[SECTION]: Designing the Architecture > 5.5 Achieving Quality Attributes > SIDEBAR 5.6 THE NEED FOR SAFE DESIGN
[CONTENT]: In other systems, a second computer, running in parallel, is used to monitor the progress and health of the primary system. The second system interrogates the first, examining the system's data and processes, looking for signs that might indicate a problem. For instance, the second system may find a process that has not been scheduled for a long period of time. This symptom may indicate that the first system is 'stuck' somewhere,looping through a process or waiting for input. Or the system may find a block of storage that was allocated and is no longer in use, but is not yet on the list of available blocks. Or the second system may discover a communication line that has not been released at the end of a transmission. If the second system cannot directly examine the first system's data or processes, it can instead initiate diagnostic transactions . This technique involves having the second system generate false but benign transactions in the first computer, to determine if the first system is working properly. For example, the second system can open a communication channel to the first, to ensure that the first system still responds to such requests.
Fault Recovery. A detected fault must be handled as soon as it is discovered, rather than waiting until processing is complete. Such immediate fault handling helps to limit the fault's damage, rather than allowing the fault to become a failure and create a trail of destruction. Fault-recovery tactics usually involve some overhead in keeping the system ready for recovery:
 - Undoing  transactions: The  system  manages  a  series  of  actions  as  a  single transaction that either executes in its entirety, or whose partial effects are easily undone if a fault occurs midway through the transaction.
 - Checkpoint/rollback: Periodically, or  after  a  specific  operation, the  software records  a  checkpoint  of  its  current  state. If  the  system  subsequently  gets  into
 - trouble, it 'rolls' its execution back to this recorded state, and reapplies logged transactions that occurred since the checkpoint.


[2]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > SIDEBAR 9.2 DELTAS AND SEPARATE FILES
[CONTENT]: Change control is further complicated when more than one developer is making a change to the same component. For instance, suppose that two failures occur during testing. Jack is assigned to find and fix the cause of the first failure, and Jill is assigned to find and fix the cause of the second.Although the failures at first seem unrelated, Jack and Jill both discover that the root cause is in a code component called initialize . Jack may remove initialize from the system library, make his changes, and place his corrected version back in  the  library. Then Jill, working from the original version, makes her corrections and replaces Jack's corrections with hers, thereby undoing his! Regression testing may reveal that Jack's assigned fault is still uncorrected, but effort and time have been wasted.
To address this problem, the configuration management team performs change control. The team oversees the libraries of code and documents, and developers must 'check out' copies when making fixes. In our example, Jill would not have been able to obtain a copy of initialize until Jack had replaced his version with a corrected, tested version. Or the configuration management team would have taken the extra step of consolidating Jack's and Jill's versions into one version; then, the consolidated version would have undergone regression testing as well as testing to ensure that both failures were eliminated.
